age,filename,database,gender,race
8,8_0_4_20170103200427437.jpg.chip.jpg,UTKFace,0,4
27,27_0_2_20170105161443219.jpg.chip.jpg,UTKFace,0,2
59,59_1_0_20170110131916835.jpg.chip.jpg,UTKFace,1,0
48,48_1_3_20170109141805054.jpg.chip.jpg,UTKFace,1,3
25,25_1_4_20170117195141428.jpg.chip.jpg,UTKFace,1,4
29,29_0_2_20170116165939507.jpg.chip.jpg,UTKFace,0,2
29,29_0_1_20170116002244586.jpg.chip.jpg,UTKFace,0,1
10,10_0_1_20170110223455893.jpg.chip.jpg,UTKFace,0,1
26,26_0_4_20170117200626708.jpg.chip.jpg,UTKFace,0,4
45,45_0_1_20170113173815963.jpg.chip.jpg,UTKFace,0,1
26,26_1_4_20170117154131789.jpg.chip.jpg,UTKFace,1,4
89,89_1_0_20170110183446677.jpg.chip.jpg,UTKFace,1,0
27,27_1_4_20170103175504767.jpg.chip.jpg,UTKFace,1,4
13,13_1_3_20170109213029072.jpg.chip.jpg,UTKFace,1,3
58,58_0_0_20170105173628294.jpg.chip.jpg,UTKFace,0,0
47,47_0_2_20170116184935713.jpg.chip.jpg,UTKFace,0,2
12,12_0_0_20170117145849076.jpg.chip.jpg,UTKFace,0,0
39,39_0_3_20170119203837351.jpg.chip.jpg,UTKFace,0,3
7,7_1_2_20161219204222117.jpg.chip.jpg,UTKFace,1,2
30,30_0_2_20170112205508972.jpg.chip.jpg,UTKFace,0,2
33,33_0_0_20170117145924419.jpg.chip.jpg,UTKFace,0,0
38,38_1_3_20170119202610221.jpg.chip.jpg,UTKFace,1,3
48,48_0_2_20170117160518496.jpg.chip.jpg,UTKFace,0,2
90,90_0_1_20170111210246547.jpg.chip.jpg,UTKFace,0,1
49,49_0_3_20170117130537950.jpg.chip.jpg,UTKFace,0,3
49,49_1_3_20170109012415373.jpg.chip.jpg,UTKFace,1,3
25,25_0_2_20170104192902767.jpg.chip.jpg,UTKFace,0,2
78,78_0_0_20170111221844550.jpg.chip.jpg,UTKFace,0,0
15,15_1_1_20170109214142778.jpg.chip.jpg,UTKFace,1,1
26,26_0_4_20170117195657219.jpg.chip.jpg,UTKFace,0,4
46,46_0_2_20170116173625939.jpg.chip.jpg,UTKFace,0,2
51,51_1_1_20170112213230359.jpg.chip.jpg,UTKFace,1,1
26,26_1_0_20170113001701275.jpg.chip.jpg,UTKFace,1,0
19,19_1_4_20170103223231399.jpg.chip.jpg,UTKFace,1,4
29,29_0_3_20170119170547814.jpg.chip.jpg,UTKFace,0,3
71,71_1_0_20170110141059193.jpg.chip.jpg,UTKFace,1,0
26,26_1_4_20161221193701030.jpg.chip.jpg,UTKFace,1,4
21,21_0_4_20161223214825003.jpg.chip.jpg,UTKFace,0,4
31,31_0_1_20170117135222573.jpg.chip.jpg,UTKFace,0,1
32,32_0_3_20170119181014212.jpg.chip.jpg,UTKFace,0,3
54,54_0_1_20170117142808120.jpg.chip.jpg,UTKFace,0,1
90,90_0_0_20170111210338948.jpg.chip.jpg,UTKFace,0,0
17,17_1_0_20170109214048004.jpg.chip.jpg,UTKFace,1,0
38,38_1_2_20170116161943473.jpg.chip.jpg,UTKFace,1,2
56,56_1_0_20170110141656511.jpg.chip.jpg,UTKFace,1,0
3,3_1_2_20161219141659416.jpg.chip.jpg,UTKFace,1,2
48,48_0_0_20170104201250552.jpg.chip.jpg,UTKFace,0,0
50,50_0_2_20170116191148275.jpg.chip.jpg,UTKFace,0,2
42,42_0_2_20170104184350086.jpg.chip.jpg,UTKFace,0,2
34,34_0_1_20170113134734098.jpg.chip.jpg,UTKFace,0,1
25,25_0_2_20170104021424381.jpg.chip.jpg,UTKFace,0,2
8,8_1_2_20170109201847910.jpg.chip.jpg,UTKFace,1,2
18,18_1_3_20170109213144758.jpg.chip.jpg,UTKFace,1,3
33,33_1_3_20170104235051234.jpg.chip.jpg,UTKFace,1,3
26,26_1_4_20170117174327119.jpg.chip.jpg,UTKFace,1,4
26,26_1_4_20170117201736159.jpg.chip.jpg,UTKFace,1,4
26,26_1_4_20170117154150500.jpg.chip.jpg,UTKFace,1,4
44,44_0_3_20170119200652604.jpg.chip.jpg,UTKFace,0,3
1,1_1_4_20170103213044557.jpg.chip.jpg,UTKFace,1,4
68,68_0_2_20170116193548368.jpg.chip.jpg,UTKFace,0,2
34,34_0_4_20170117141335902.jpg.chip.jpg,UTKFace,0,4
35,35_1_4_20170117203433192.jpg.chip.jpg,UTKFace,1,4
60,60_0_2_20170120223504413.jpg.chip.jpg,UTKFace,0,2
51,51_0_3_20170119181148220.jpg.chip.jpg,UTKFace,0,3
50,50_0_4_20170117203237079.jpg.chip.jpg,UTKFace,0,4
8,8_1_4_20161221202611945.jpg.chip.jpg,UTKFace,1,4
31,31_0_4_20170116191344848.jpg.chip.jpg,UTKFace,0,4
27,27_0_2_20170116185014529.jpg.chip.jpg,UTKFace,0,2
19,19_1_4_20170103233712235.jpg.chip.jpg,UTKFace,1,4
34,34_1_0_20170116222753074.jpg.chip.jpg,UTKFace,1,0
35,35_0_1_20170116201954407.jpg.chip.jpg,UTKFace,0,1
29,29_0_2_20170116172041615.jpg.chip.jpg,UTKFace,0,2
67,67_0_2_20170112224629884.jpg.chip.jpg,UTKFace,0,2
42,42_0_1_20170117142655442.jpg.chip.jpg,UTKFace,0,1
37,37_1_0_20170103182952754.jpg.chip.jpg,UTKFace,1,0
25,25_0_1_20170117140732133.jpg.chip.jpg,UTKFace,0,1
80,80_0_0_20170111210305500.jpg.chip.jpg,UTKFace,0,0
40,40_1_1_20170116235434882.jpg.chip.jpg,UTKFace,1,1
80,80_1_0_20170110141751087.jpg.chip.jpg,UTKFace,1,0
65,65_1_0_20170110140917161.jpg.chip.jpg,UTKFace,1,0
17,17_0_0_20170110232438939.jpg.chip.jpg,UTKFace,0,0
1,1_0_2_20161219204156668.jpg.chip.jpg,UTKFace,0,2
77,77_1_2_20170110175320274.jpg.chip.jpg,UTKFace,1,2
68,68_0_0_20170119212026025.jpg.chip.jpg,UTKFace,0,0
