,age,filename,database,gender,race
7276,37,37_0_2_20170104022325581.jpg.chip.jpg,UTKFace,0,2
13559,22,22_1_0_20170116220932996.jpg.chip.jpg,UTKFace,1,0
13674,21,21_1_4_20170103223204087.jpg.chip.jpg,UTKFace,1,4
10572,31,31_1_0_20170113002019668.jpg.chip.jpg,UTKFace,1,0
4537,83,83_1_0_20170110131402507.jpg.chip.jpg,UTKFace,1,0
9078,35,35_1_0_20170117185506936.jpg.chip.jpg,UTKFace,1,0
3499,46,46_0_4_20170120134419847.jpg.chip.jpg,UTKFace,0,4
10523,5,5_0_3_20170104225758624.jpg.chip.jpg,UTKFace,0,3
14276,60,60_1_1_20170110122351600.jpg.chip.jpg,UTKFace,1,1
8340,26,26_1_3_20170119193121906.jpg.chip.jpg,UTKFace,1,3
5596,15,15_1_0_20170105000525758.jpg.chip.jpg,UTKFace,1,0
14603,34,34_1_0_20170105172659429.jpg.chip.jpg,UTKFace,1,0
11149,27,27_1_0_20170117174845392.jpg.chip.jpg,UTKFace,1,0
544,29,29_1_3_20170116162100478.jpg.chip.jpg,UTKFace,1,3
2104,50,50_0_1_20170117003124915.jpg.chip.jpg,UTKFace,0,1
6069,85,85_0_0_20170110183613267.jpg.chip.jpg,UTKFace,0,0
11933,28,28_1_4_20170117202422103.jpg.chip.jpg,UTKFace,1,4
3920,61,61_0_0_20170117192049580.jpg.chip.jpg,UTKFace,0,0
10930,19,19_0_3_20170119165517358.jpg.chip.jpg,UTKFace,0,3
2657,41,41_0_0_20170116214404363.jpg.chip.jpg,UTKFace,0,0
4854,38,38_0_0_20170117130715035.jpg.chip.jpg,UTKFace,0,0
13020,37,37_1_1_20170115235037275.jpg.chip.jpg,UTKFace,1,1
2045,17,17_1_0_20170109213621558.jpg.chip.jpg,UTKFace,1,0
9963,35,35_1_0_20170117134340646.jpg.chip.jpg,UTKFace,1,0
13255,43,43_0_0_20170120222356456.jpg.chip.jpg,UTKFace,0,0
8012,23,23_0_0_20170111181750321.jpg.chip.jpg,UTKFace,0,0
8755,30,30_0_3_20170119195819708.jpg.chip.jpg,UTKFace,0,3
11663,34,34_0_4_20170105172322132.jpg.chip.jpg,UTKFace,0,4
7688,27,27_0_0_20170117144431762.jpg.chip.jpg,UTKFace,0,0
476,57,57_0_0_20170111171747492.jpg.chip.jpg,UTKFace,0,0
3003,4,4_0_2_20161219164003879.jpg.chip.jpg,UTKFace,0,2
5691,40,40_0_0_20170117135108861.jpg.chip.jpg,UTKFace,0,0
3124,31,31_1_1_20170112210802028.jpg.chip.jpg,UTKFace,1,1
14379,28,28_0_0_20170105164905292.jpg.chip.jpg,UTKFace,0,0
4439,31,31_0_1_20170116002854242.jpg.chip.jpg,UTKFace,0,1
2793,3,3_1_0_20170109193055962.jpg.chip.jpg,UTKFace,1,0
4410,45,45_0_3_20170119201114381.jpg.chip.jpg,UTKFace,0,3
1346,29,29_1_1_20170113013111447.jpg.chip.jpg,UTKFace,1,1
757,40,40_0_0_20170117155031358.jpg.chip.jpg,UTKFace,0,0
7926,35,35_1_0_20170116222948039.jpg.chip.jpg,UTKFace,1,0
7610,37,37_0_4_20170116233142186.jpg.chip.jpg,UTKFace,0,4
1968,32,32_0_3_20170104230706290.jpg.chip.jpg,UTKFace,0,3
14899,52,52_1_3_20170109133341959.jpg.chip.jpg,UTKFace,1,3
2092,40,40_0_4_20170103235124292.jpg.chip.jpg,UTKFace,0,4
13771,45,45_0_1_20170117190019363.jpg.chip.jpg,UTKFace,0,1
8250,28,28_0_1_20170117020911129.jpg.chip.jpg,UTKFace,0,1
8880,40,40_0_1_20170113142425444.jpg.chip.jpg,UTKFace,0,1
10812,42,42_0_1_20170113183523861.jpg.chip.jpg,UTKFace,0,1
7694,13,13_1_3_20170109213029072.jpg.chip.jpg,UTKFace,1,3
8574,50,50_1_0_20170117134105409.jpg.chip.jpg,UTKFace,1,0
1639,25,25_0_3_20170119171240216.jpg.chip.jpg,UTKFace,0,3
586,30,30_1_2_20170116162039101.jpg.chip.jpg,UTKFace,1,2
7443,27,27_1_3_20170119194424402.jpg.chip.jpg,UTKFace,1,3
4548,89,89_1_3_20170110183718790.jpg.chip.jpg,UTKFace,1,3
3636,38,38_1_0_20170109142047234.jpg.chip.jpg,UTKFace,1,0
9181,24,24_1_0_20170104234820025.jpg.chip.jpg,UTKFace,1,0
12828,58,58_0_0_20170105173636909.jpg.chip.jpg,UTKFace,0,0
14180,28,28_1_2_20170116162435106.jpg.chip.jpg,UTKFace,1,2
9781,67,67_0_3_20170119212009145.jpg.chip.jpg,UTKFace,0,3
7761,53,53_1_0_20170104184642790.jpg.chip.jpg,UTKFace,1,0
14738,44,44_1_3_20170119172158321.jpg.chip.jpg,UTKFace,1,3
668,2,2_0_0_20170110213128362.jpg.chip.jpg,UTKFace,0,0
3275,26,26_0_1_20170113135316041.jpg.chip.jpg,UTKFace,0,1
346,36,36_0_1_20170119183437846.jpg.chip.jpg,UTKFace,0,1
1646,45,45_1_1_20170113012310351.jpg.chip.jpg,UTKFace,1,1
2086,9,9_0_0_20170110220016235.jpg.chip.jpg,UTKFace,0,0
1315,50,50_0_0_20170104021859988.jpg.chip.jpg,UTKFace,0,0
8685,3,3_0_3_20161220221437315.jpg.chip.jpg,UTKFace,0,3
11931,32,32_1_1_20170117194640746.jpg.chip.jpg,UTKFace,1,1
2836,28,28_1_1_20170116175812597.jpg.chip.jpg,UTKFace,1,1
12374,32,32_0_0_20170117133721915.jpg.chip.jpg,UTKFace,0,0
13913,57,57_1_0_20170110122411678.jpg.chip.jpg,UTKFace,1,0
10669,76,76_0_2_20170112224634252.jpg.chip.jpg,UTKFace,0,2
7054,54,54_0_3_20170119210212976.jpg.chip.jpg,UTKFace,0,3
1483,23,23_1_3_20170119164457312.jpg.chip.jpg,UTKFace,1,3
12759,7,7_1_3_20161220222848971.jpg.chip.jpg,UTKFace,1,3
75,28,28_0_4_20170117202418494.jpg.chip.jpg,UTKFace,0,4
9755,52,52_0_3_20170104220727902.jpg.chip.jpg,UTKFace,0,3
4466,26,26_0_1_20170113134737474.jpg.chip.jpg,UTKFace,0,1
938,30,30_0_4_20170104201527594.jpg.chip.jpg,UTKFace,0,4
6922,14,14_1_0_20170109203937399.jpg.chip.jpg,UTKFace,1,0
6500,26,26_1_3_20170109133014151.jpg.chip.jpg,UTKFace,1,3
337,79,79_1_0_20170110151406182.jpg.chip.jpg,UTKFace,1,0
5067,26,26_1_1_20170116183008326.jpg.chip.jpg,UTKFace,1,1
7540,29,29_0_0_20170113210605445.jpg.chip.jpg,UTKFace,0,0
12045,53,53_0_3_20170119205857264.jpg.chip.jpg,UTKFace,0,3
1921,21,21_0_0_20170113182733390.jpg.chip.jpg,UTKFace,0,0
13966,90,90_0_2_20170110183643228.jpg.chip.jpg,UTKFace,0,2
5451,2,2_1_3_20161219225917512.jpg.chip.jpg,UTKFace,1,3
14285,49,49_1_0_20170117160556897.jpg.chip.jpg,UTKFace,1,0
10789,31,31_1_0_20170117182013925.jpg.chip.jpg,UTKFace,1,0
422,13,13_1_4_20170117200640357.jpg.chip.jpg,UTKFace,1,4
8787,17,17_1_0_20170117140619087.jpg.chip.jpg,UTKFace,1,0
